GENESIS-Tabelle: 23111-01d
Anzahl der Krankenhäuser und aufgestellte Betten nach Art;;;;;;;;;;
der Träger - kreisfreie Städte und Kreise - Stichtag;;;;;;;;;;
Grunddaten der Krankenhäuser;;;;;;;;;;
;;;Träger;Träger;Träger;Träger;Träger;Träger;Träger;Träger
;;;Insgesamt;Insgesamt;Öffentliche Träger;Öffentliche Träger;Private Träger;Private Träger;Freigemeinnützige Träger;Freigemeinnützige Träger
;;;Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt)
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2021;055;  Münster, Regierungsbezirk;49;16738;9;3203;2;171;38;13364
31.12.2021;05512;    Bottrop, krfr. Stadt;3;702;1;382;1;-;1;320
31.12.2021;05513;    Gelsenkirchen, krfr. Stadt;6;2263;1;342;-;-;5;1921
31.12.2021;05515;    Münster, krfr. Stadt;8;3654;2;1606;-;-;6;2048
31.12.2021;05554;    Borken, Kreis;6;1894;-;-;-;-;6;1894
31.12.2021;05558;    Coesfeld, Kreis;3;945;-;-;-;-;3;945
31.12.2021;05562;    Recklinghausen, Kreis;10;3989;2;297;-;-;8;3692
31.12.2021;05566;    Steinfurt, Kreis;7;2003;2;576;1;171;4;1256
31.12.2021;05570;    Warendorf, Kreis;6;1288;1;-;-;-;5;1288
31.12.2021;057;  Detmold, Regierungsbezirk;31;12150;13;6214;7;557;11;5379
31.12.2021;05711;    Bielefeld, krfr. Stadt;5;3281;1;1126;1;13;3;2142
31.12.2021;05754;    Gütersloh, Kreis;3;1324;2;743;-;-;1;581
31.12.2021;05758;    Herford, Kreis;3;1109;1;755;-;-;2;354
31.12.2021;05762;    Höxter, Kreis;2;1040;-;-;1;139;1;901
31.12.2021;05766;    Lippe, Kreis;5;1387;3;1206;2;181;-;-
31.12.2021;05770;    Minden-Lübbecke, Kreis;8;2229;4;1975;3;224;1;30
31.12.2021;05774;    Paderborn, Kreis;5;1780;2;409;-;-;3;1371
31.12.2021;059;  Arnsberg, Regierungsbezirk;80;26355;19;7386;10;1358;51;17611
31.12.2021;05911;    Bochum, krfr. Stadt;7;3445;3;1216;1;43;3;2186
31.12.2021;05913;    Dortmund, krfr. Stadt;9;3918;4;2203;-;-;5;1715
31.12.2021;05914;    Hagen, krfr. Stadt;4;1542;-;-;1;80;3;1462
31.12.2021;05915;    Hamm, krfr. Stadt;5;1744;1;110;-;-;4;1634
31.12.2021;05916;    Herne, krfr. Stadt;5;1613;-;-;-;-;5;1613
31.12.2021;05954;    Ennepe-Ruhr-Kreis;6;1639;-;-;1;367;5;1272
31.12.2021;05958;    Hochsauerlandkreis;10;2141;3;414;1;54;6;1673
31.12.2021;05962;    Märkischer Kreis;10;2611;3;1294;3;280;4;1037
31.12.2021;05966;    Olpe, Kreis;2;854;-;-;1;303;1;551
31.12.2021;05970;    Siegen-Wittgenstein, Kreis;6;2086;1;614;1;127;4;1345
31.12.2021;05974;    Soest, Kreis;9;2058;3;736;1;104;5;1218
31.12.2021;05978;    Unna, Kreis;7;2704;1;799;-;-;6;1905
31.12.2020;05;Nordrhein-Westfalen;337;114917;77;34849;49;11010;211;69058
31.12.2020;051;  Düsseldorf, Regierungsbezirk;96;34323;18;7402;17;7066;61;19855
31.12.2020;05111;    Düsseldorf, krfr. Stadt;13;4764;2;1699;4;766;7;2299
31.12.2020;05112;    Duisburg, krfr. Stadt;7;4412;1;342;3;2187;3;1883
31.12.2020;05113;    Essen, krfr. Stadt;11;4846;3;1583;1;19;7;3244
31.12.2020;05114;    Krefeld, krfr. Stadt;4;2031;-;-;2;1328;2;703
31.12.2020;05116;    Mönchengladbach, krfr. Stadt;5;2054;2;781;-;-;3;1273
31.12.2020;05117;    Mülheim an der Ruhr, krfr. Stadt;2;864;-;-;-;-;2;864
31.12.2020;05119;    Oberhausen, krfr. Stadt;3;1256;-;-;1;458;2;798
31.12.2020;05120;    Remscheid, krfr. Stadt;3;987;-;-;1;426;2;561
31.12.2020;05122;    Solingen, krfr. Stadt;4;907;1;481;-;-;3;426
31.12.2020;05124;    Wuppertal, krfr. Stadt;4;2103;-;-;1;989;3;1114
31.12.2020;05154;    Kleve, Kreis;7;1654;1;288;-;-;6;1366
31.12.2020;05158;    Mettmann, Kreis;11;2233;1;392;3;654;7;1187
31.12.2020;05162;    Rhein-Kreis Neuss;8;2043;3;1150;-;-;5;893
31.12.2020;05166;    Viersen, Kreis;7;1421;4;686;1;239;2;496
31.12.2020;05170;    Wesel, Kreis;7;2748;-;-;-;-;7;2748
31.12.2020;053;  Köln, Regierungsbezirk;79;25255;17;10557;14;1820;48;12878
31.12.2020;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2020;05314;    Bonn, krfr. Stadt;10;4227;2;1956;3;503;5;1768
31.12.2020;05315;    Köln, krfr. Stadt;22;6930;5;2989;1;85;16;3856
31.12.2020;05316;    Leverkusen, krfr. Stadt;2;968;1;622;-;-;1;346
31.12.2020;05334;    Städteregion Aachen (einschl. Stadt Aachen);8;3822;2;2148;1;125;5;1549
31.12.2020;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2020;05358;    Düren, Kreis;6;1811;2;874;-;-;4;937
31.12.2020;05362;    Rhein-Erft-Kreis;8;1377;-;-;2;189;6;1188
31.12.2020;05366;    Euskirchen, Kreis;3;1214;1;605;-;-;2;609
31.12.2020;05370;    Heinsberg, Kreis;4;974;1;187;-;-;3;787
31.12.2020;05374;    Oberbergischer Kreis;6;1516;1;941;4;312;1;263
31.12.2020;05378;    Rheinisch-Bergischer Kreis;4;1168;2;235;-;-;2;933
31.12.2020;05382;    Rhein-Sieg-Kreis;6;1248;-;-;3;606;3;642
31.12.2020;055;  Münster, Regierungsbezirk;49;16839;8;3285;2;171;39;13383
31.12.2020;05512;    Bottrop, krfr. Stadt;3;711;1;382;1;-;1;329
31.12.2020;05513;    Gelsenkirchen, krfr. Stadt;6;2289;1;344;-;-;5;1945
31.12.2020;05515;    Münster, krfr. Stadt;8;3695;2;1645;-;-;6;2050
31.12.2020;05554;    Borken, Kreis;6;1953;-;-;-;-;6;1953
31.12.2020;05558;    Coesfeld, Kreis;3;834;-;-;-;-;3;834
31.12.2020;05562;    Recklinghausen, Kreis;10;4005;2;593;-;-;8;3412
31.12.2020;05566;    Steinfurt, Kreis;7;2054;1;321;1;171;5;1562
31.12.2020;05570;    Warendorf, Kreis;6;1298;1;-;-;-;5;1298
31.12.2020;057;  Detmold, Regierungsbezirk;31;12024;14;6207;6;452;11;5365
31.12.2020;05711;    Bielefeld, krfr. Stadt;5;3240;1;1088;1;13;3;2139
31.12.2020;05754;    Gütersloh, Kreis;3;1324;2;743;-;-;1;581
31.12.2020;05758;    Herford, Kreis;3;1034;1;690;-;-;2;344
31.12.2020;05762;    Höxter, Kreis;2;1052;-;-;1;139;1;913
31.12.2020;05766;    Lippe, Kreis;5;1387;3;1206;2;181;-;-
31.12.2020;05770;    Minden-Lübbecke, Kreis;8;2220;5;2071;2;119;1;30
31.12.2020;05774;    Paderborn, Kreis;5;1767;2;409;-;-;3;1358
31.12.2020;059;  Arnsberg, Regierungsbezirk;82;26476;20;7398;10;1501;52;17577
31.12.2020;05911;    Bochum, krfr. Stadt;7;3473;3;1139;1;161;3;2173
31.12.2020;05913;    Dortmund, krfr. Stadt;10;3969;5;2342;-;-;5;1627
31.12.2020;05914;    Hagen, krfr. Stadt;4;1510;-;-;1;80;3;1430
31.12.2020;05915;    Hamm, krfr. Stadt;5;1745;1;110;-;-;4;1635
31.12.2020;05916;    Herne, krfr. Stadt;5;1619;-;-;-;-;5;1619
