;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2013;05962;    Märkischer Kreis;12;2945;5;1557;2;153;5;1235
31.12.2012;05;Nordrhein-Westfalen;385;120973;82;37472;45;7703;258;75798
31.12.2012;05162;    Rhein-Kreis Neuss;7;2045;3;1202;-;-;4;843
31.12.2012;05334;    Städteregion Aachen (einschl. Stadt Aachen);10;3825;2;1981;2;94;6;1750
31.12.2012;05362;    Rhein-Erft-Kreis;10;1472;-;-;4;247;6;1225
31.12.2012;05374;    Oberbergischer Kreis;6;1621;2;963;1;29;3;629
31.12.2012;05378;    Rheinisch-Bergischer Kreis;5;1172;2;260;-;-;3;912
31.12.2012;05382;    Rhein-Sieg-Kreis;9;1534;-;-;2;566;7;968
31.12.2012;05954;    Ennepe-Ruhr-Kreis;9;2165;-;-;1;386;8;1779
31.12.2012;05958;    Hochsauerlandkreis;13;2067;4;599;1;54;8;1414
31.12.2012;05962;    Märkischer Kreis;12;3005;5;1588;2;153;5;1264
31.12.2011;05;Nordrhein-Westfalen;401;121556;85;37522;47;7828;269;76206
31.12.2011;05162;    Rhein-Kreis Neuss;7;2043;3;1204;-;-;4;839
31.12.2011;05334;    Städteregion Aachen (einschl. Stadt Aachen);10;3847;2;2003;2;94;6;1750
31.12.2011;05362;    Rhein-Erft-Kreis;10;1467;-;-;4;242;6;1225
31.12.2011;05374;    Oberbergischer Kreis;6;1638;3;1009;-;-;3;629
31.12.2011;05378;    Rheinisch-Bergischer Kreis;5;1172;2;260;-;-;3;912
31.12.2011;05382;    Rhein-Sieg-Kreis;9;1534;-;-;2;566;7;968
31.12.2011;05954;    Ennepe-Ruhr-Kreis;9;2154;-;-;1;386;8;1768
31.12.2011;05958;    Hochsauerlandkreis;14;2155;4;599;2;142;8;1414
31.12.2011;05962;    Märkischer Kreis;12;3067;5;1567;2;153;5;1347
31.12.2010;05;Nordrhein-Westfalen;-;-;85;37522;46;6936;273;77322
31.12.2010;05162;    Rhein-Kreis Neuss;-;-;3;1204;-;-;4;843
31.12.2010;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;2;1989;2;94;6;1752
31.12.2010;05362;    Rhein-Erft-Kreis;-;-;-;-;4;236;6;1225
31.12.2010;05374;    Oberbergischer Kreis;-;-;3;1060;-;-;3;629
31.12.2010;05378;    Rheinisch-Bergischer Kreis;-;-;2;245;-;-;3;912
31.12.2010;05382;    Rhein-Sieg-Kreis;-;-;-;-;2;574;7;968
31.12.2010;05954;    Ennepe-Ruhr-Kreis;-;-;-;-;1;386;8;1762
31.12.2010;05958;    Hochsauerlandkreis;-;-;4;589;2;146;8;1424
31.12.2010;05962;    Märkischer Kreis;-;-;5;1558;2;153;5;1352
31.12.2009;05;Nordrhein-Westfalen;-;-;86;37581;47;6965;280;77771
31.12.2009;05162;    Rhein-Kreis Neuss;-;-;3;1204;-;-;4;843
31.12.2009;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;2;1989;1;19;7;1827
31.12.2009;05362;    Rhein-Erft-Kreis;-;-;-;-;3;236;6;1261
31.12.2009;05374;    Oberbergischer Kreis;-;-;3;1057;-;-;3;629
31.12.2009;05378;    Rheinisch-Bergischer Kreis;-;-;2;245;-;-;3;912
31.12.2009;05382;    Rhein-Sieg-Kreis;-;-;-;-;2;566;7;968
31.12.2009;05954;    Ennepe-Ruhr-Kreis;-;-;-;-;1;386;8;1756
31.12.2009;05958;    Hochsauerlandkreis;-;-;4;570;2;146;8;1427
31.12.2009;05962;    Märkischer Kreis;-;-;5;1594;2;153;7;1415
31.12.2008;05;Nordrhein-Westfalen;-;-;83;36887;48;6879;287;79037
31.12.2008;05162;    Rhein-Kreis Neuss;-;-;3;1204;-;-;4;813
31.12.2008;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-
31.12.2008;05362;    Rhein-Erft-Kreis;-;-;-;-;3;218;6;1287
31.12.2008;05374;    Oberbergischer Kreis;-;-;3;1091;-;-;3;629
31.12.2008;05378;    Rheinisch-Bergischer Kreis;-;-;1;203;-;-;4;954
31.12.2008;05382;    Rhein-Sieg-Kreis;-;-;-;-;2;566;7;968
31.12.2008;05954;    Ennepe-Ruhr-Kreis;-;-;-;-;1;386;8;1740
31.12.2008;05958;    Hochsauerlandkreis;-;-;4;570;4;226;8;1427
31.12.2008;05962;    Märkischer Kreis;-;-;5;1571;2;153;7;1415
31.12.2007;05;Nordrhein-Westfalen;-;-;87;38068;47;5782;298;80046
31.12.2007;05162;    Rhein-Kreis Neuss;-;-;4;1204;-;-;5;807
31.12.2007;05334;    Städteregion Aachen (einschl. Stadt Aachen);-;-;-;-;-;-;-;-
31.12.2007;05362;    Rhein-Erft-Kreis;-;-;-;-;3;218;6;1287
31.12.2007;05374;    Oberbergischer Kreis;-;-;3;1112;-;-;4;668
31.12.2007;05378;    Rheinisch-Bergischer Kreis;-;-;1;203;-;-;4;954
31.12.2007;05382;    Rhein-Sieg-Kreis;-;-;-;-;2;566;7;970
31.12.2007;05954;    Ennepe-Ruhr-Kreis;-;-;-;-;1;386;8;1754
31.12.2007;05958;    Hochsauerlandkreis;-;-;4;570;4;226;8;1427
31.12.2007;05962;    Märkischer Kreis;-;-;5;1608;2;184;7;1519
